"Gene.A.Number","Gene.B.Number","bresub","Gene.A.Name","Gene.B.Name","Delta-Gene.A","Delta-Gene.B","Min.Delta"
127,189,0.1387,"Alcam","Slc9a2",-0.0213,0.3933,-0.0213
127,190,0.1185,"Alcam","Il1r2",-0.00109999999999999,0.1372,-0.00109999999999999
127,192,0.1195,"Alcam","Cxcr2",-0.00209999999999999,0.0783,-0.00209999999999999
127,194,0.1428,"Alcam","Tnfrsf11a",-0.0254,0.2017,-0.0254
127,196,0.1449,"Alcam","Dbi",-0.0275,0.2456,-0.0275
127,200,0.1391,"Alcam","Sell",-0.0217,0.2055,-0.0217
127,205,0.1285,"Alcam","Cat",-0.0111,0.0937,-0.0111
127,211,0.136,"Alcam","Bcl2l11",-0.0186,0.1445,-0.0186
127,215,0.1424,"Alcam","Pag1",-0.025,0.2208,-0.025
127,220,0.1375,"Alcam","Mecom",-0.0201,0.3571,-0.0201
127,227,0.1325,"Alcam","Tpm3",-0.0151,0.1639,-0.0151
127,230,0.1092,"Alcam","Gclm",0.0082,0.1075,0.0082
127,236,0.1392,"Alcam","Xpa",-0.0218,0.1864,-0.0218
127,238,0.1149,"Alcam","Slc44a1",0.0025,0.1947,0.0025
127,240,0.1223,"Alcam","Slc35d1",-0.0049,0.3011,-0.0049
127,243,0.131,"Alcam","Plaa",-0.0136,0.286,-0.0136
127,248,0.1385,"Alcam","Bst1",-0.0211,0.3001,-0.0211
127,253,0.1157,"Alcam","Slc30a9",0.00170000000000001,0.4233,0.00170000000000001
127,255,0.1484,"Alcam","Fgf5",-0.031,0.2902,-0.031
127,258,0.1337,"Alcam","Ep400",-0.0163,0.333,-0.0163
127,262,0.1458,"Alcam","Cdk8",-0.0284,0.2178,-0.0284
127,266,0.1489,"Alcam","Olr1",-0.0315,0.1786,-0.0315
127,267,0.143,"Alcam","Kdm5a",-0.0256,0.1873,-0.0256
127,269,0.1339,"Alcam","Atg7",-0.0165,0.3253,-0.0165
127,273,0.1196,"Alcam","Far1",-0.00219999999999999,0.2447,-0.00219999999999999
127,278,0.1486,"Alcam","Stim1",-0.0312,0.2502,-0.0312
127,280,0.1443,"Alcam","Slc35a2",-0.0269,0.3037,-0.0269
127,289,0.1155,"Alcam","Casp3",0.0019,0.2757,0.0019
127,294,0.1331,"Alcam","Has3",-0.0157,0.3869,-0.0157
127,295,0.1272,"Alcam","Egln1",-0.0098,0.3805,-0.0098
127,298,0.1261,"Alcam","Ilf3",-0.00869999999999999,0.2105,-0.00869999999999999
127,314,0.1464,"Alcam","Lpar6",-0.029,0.3203,-0.029
127,316,0.1427,"Alcam","Slc25a37",-0.0253,0.0725,-0.0253
127,326,0.1461,"Alcam","Foxa2",-0.0287,0.3019,-0.0287
127,339,0.1178,"Alcam","Slc22a23",-0.000399999999999998,0.2244,-0.000399999999999998
127,346,0.1003,"Alcam","Rbpj",0.0171,0.1939,0.0171
127,348,0.12,"Alcam","Tgfb2",-0.00259999999999999,0.3618,-0.00259999999999999
127,351,0.1288,"Alcam","Ptger4",-0.0114,0.3175,-0.0114
127,357,0.122,"Alcam","Cept1",-0.00459999999999999,0.2952,-0.00459999999999999
127,359,0.1193,"Alcam","Car8",-0.0019,0.2553,-0.0019
127,363,0.1469,"Alcam","Znrf3",-0.0295,0.4026,-0.0295
127,365,0.1417,"Alcam","Mgat3",-0.0243,0.2922,-0.0243
127,368,0.1266,"Alcam","Id1",-0.00919999999999999,0.3432,-0.00919999999999999
127,370,0.1389,"Alcam","Ptpn11",-0.0215,0.161,-0.0215
127,386,0.1404,"Alcam","Hoxb13",-0.023,0.1208,-0.023
127,388,0.1318,"Alcam","Gja8",-0.0144,0.2641,-0.0144
127,392,0.1382,"Alcam","Ftl1",-0.0208,0.2033,-0.0208
127,394,0.1284,"Alcam","Ffar2",-0.011,0.2981,-0.011
127,404,0.143,"Alcam","Slfn5",-0.0256,0.1615,-0.0256
127,405,0.1106,"Alcam","Slc30a7",0.0068,0.3424,0.0068
127,422,0.1164,"Alcam","Thra",0.001,0.3307,0.001
127,429,0.1459,"Alcam","Maml3",-0.0285,0.1154,-0.0285
127,433,0.1354,"Alcam","Actg1",-0.018,0.1445,-0.018
127,442,0.1424,"Alcam","Slc31a1",-0.025,0.3572,-0.025
127,448,0.1494,"Alcam","Ccnd1",-0.032,0.179,-0.032
127,456,0.1253,"Alcam","Ccl28",-0.00789999999999999,0.1222,-0.00789999999999999
129,417,0.1436,"Tfrc","Birc2",0.3021,0.0253,0.0253
139,207,0.148,"Slc38a1","Sord",0.0723,0.145,0.0723
175,454,0.1201,"Cdk2","Csf2rb",0.2178,0.0461,0.0461
181,454,0.1498,"Pard3","Csf2rb",0.2736,0.0164,0.0164
207,401,0.1445,"Sord","Lifr",0.1485,0.1395,0.1395
210,417,0.1331,"Mall","Birc2",0.2022,0.0358,0.0358
244,417,0.1494,"Scp2","Birc2",0.2436,0.0195,0.0195
286,417,0.1394,"Ikbkb","Birc2",0.1637,0.0295,0.0295
286,454,0.1217,"Ikbkb","Csf2rb",0.1814,0.0445,0.0445
294,417,0.1448,"Has3","Birc2",0.3752,0.0241,0.0241
296,456,0.127,"Plet1","Ccl28",0.0987,0.1205,0.0987
303,417,0.145,"Slc25a36","Birc2",0.1233,0.0239,0.0239
327,417,0.1349,"Kdm6a","Birc2",0.1351,0.034,0.034
355,404,0.1493,"Cdk6","Slfn5",0.0318,0.1552,0.0318
401,454,0.1226,"Lifr","Csf2rb",0.1614,0.0436,0.0436
403,454,0.1375,"Ceacam2","Csf2rb",0.2789,0.0287,0.0287
404,417,0.1304,"Slfn5","Birc2",0.1741,0.0385,0.0385
404,454,0.1418,"Slfn5","Csf2rb",0.1627,0.0244,0.0244
405,417,0.146,"Slc30a7","Birc2",0.307,0.0229,0.0229
409,421,0.1442,"Foxd2","Tspan7",0.0714,0.0863,0.0714
417,420,0.1361,"Birc2","Nfam1",0.0328,0.1452,0.0328
417,434,0.1388,"Birc2","Acadm",0.0301,0.2627,0.0301
429,454,0.145,"Maml3","Csf2rb",0.1163,0.0212,0.0212
434,454,0.1131,"Acadm","Csf2rb",0.2884,0.0531,0.0531
