"Gene.A.Number","Gene.B.Number","Gene.C.Number","bresub","Gene.A.Name","Gene.B.Name","Gene.C.Name","Delta-Gene.A","Delta-Gene.B","Delta-Gene.C","Delta-Pair.AB","Delta-Pair.AC","Delta-Pair.BC","Min.Delta"
96,329,445,0.0467,"Numb","Cdkn1c","Duox2",0.2715,0.0415,0.0248,0.0477,0.0477,0.001,0.001
129,329,445,0.0422,"Tfrc","Cdkn1c","Duox2",0.2825,0.046,0.0293,0.0477,0.0477,0.0055,0.0055
135,329,445,0.0442,"Sod1","Cdkn1c","Duox2",0.274,0.044,0.0273,0.0477,0.0477,0.0035,0.0035
142,329,445,0.0428,"Tnfrsf21","Cdkn1c","Duox2",0.2754,0.0454,0.0287,0.0477,0.0477,0.0049,0.0049
153,329,445,0.0492,"Tnf","Cdkn1c","Duox2",0.269,0.039,0.0223,0.0477,0.0477,-0.0015,-0.0015
180,329,445,0.0437,"Itgb1","Cdkn1c","Duox2",0.2745,0.0445,0.0278,0.0477,0.0477,0.004,0.004
185,329,445,0.0471,"Lypla1","Cdkn1c","Duox2",0.2637,0.0411,0.0244,0.0477,0.0477,0.000599999999999996,0.000599999999999996
192,329,445,0.0462,"Cxcr2","Cdkn1c","Duox2",0.2744,0.042,0.0253,0.0477,0.0477,0.0015,0.0015
193,329,445,0.0482,"Atg16l1","Cdkn1c","Duox2",0.2148,0.04,0.0233,0.0477,0.0477,-5e-04,-5e-04
207,329,445,0.04,"Sord","Cdkn1c","Duox2",0.28,0.0482,0.0315,0.0477,0.0477,0.0077,0.0077
253,329,445,0.0382,"Slc30a9","Cdkn1c","Duox2",0.28,0.05,0.0333,0.0477,0.0477,0.0095,0.0095
256,329,445,0.046,"P2rx4","Cdkn1c","Duox2",0.2711,0.0422,0.0255,0.0477,0.0477,0.0017,0.0017
284,329,445,0.0407,"Tnfsf13b","Cdkn1c","Duox2",0.2775,0.0475,0.0308,0.0477,0.0477,0.007,0.007
289,329,445,0.0368,"Casp3","Cdkn1c","Duox2",0.307,0.0514,0.0347,0.0477,0.0477,0.0109,0.0109
293,329,445,0.0355,"Mt1","Cdkn1c","Duox2",0.2827,0.0527,0.036,0.0477,0.0477,0.0122,0.0122
308,329,445,0.0443,"Nlrp3","Cdkn1c","Duox2",0.2739,0.0439,0.0272,0.0477,0.0477,0.0034,0.0034
325,329,445,0.0402,"Cdc42ep3","Cdkn1c","Duox2",0.278,0.048,0.0313,0.0477,0.0477,0.0075,0.0075
326,329,445,0.0449,"Foxa2","Cdkn1c","Duox2",0.2761,0.0433,0.0266,0.0477,0.0477,0.0028,0.0028
329,336,445,0.0455,"Cdkn1c","Hoxa9","Duox2",0.0427,0.2727,0.026,0.0477,0.0022,0.0477,0.0022
329,361,445,0.0425,"Cdkn1c","Irf8","Duox2",0.0457,0.2757,0.029,0.0477,0.0052,0.0477,0.0052
329,383,445,0.0366,"Cdkn1c","Slc39a9","Duox2",0.0516,0.2816,0.0349,0.0477,0.0111,0.0477,0.0111
329,403,445,0.0489,"Cdkn1c","Ceacam2","Duox2",0.0393,0.3212,0.0226,0.0477,-0.0012,0.0477,-0.0012
329,407,445,0.0428,"Cdkn1c","Adam10","Duox2",0.0454,0.2074,0.0287,0.0477,0.0049,0.0477,0.0049
329,410,445,0.0495,"Cdkn1c","Fut9","Duox2",0.0387,0.2101,0.022,0.0477,-0.0018,0.0477,-0.0018
329,417,445,0.0468,"Cdkn1c","Birc2","Duox2",0.0414,0.2714,0.0247,0.0477,0.000899999999999998,0.0477,0.000899999999999998
329,426,445,0.0341,"Cdkn1c","Ptk2b","Duox2",0.0541,0.2841,0.0374,0.0477,0.0136,0.0477,0.0136
329,435,445,0.042,"Cdkn1c","Mapk3","Duox2",0.0462,0.2762,0.0295,0.0477,0.0057,0.0477,0.0057
329,445,452,0.0456,"Cdkn1c","Duox2","Naip5",0.0426,0.0259,0.2719,0.0021,0.0477,0.0477,0.0021
